Target,Related Prime,Unrelated Prime,Target-Related RT,Target-Unrelated RT
britain,england,like,0.7545077083333332,2.2084903243243246
dill,pickle,cane,0.21354016363636358,1.5596774473684212
coral,reef,snob,-0.004993180327868845,1.088109351851852
clipper,toenail,show,0.0532833272727273,1.1149592641509436
christ,jesus,chunk,-0.09097898360655736,0.9685717931034483
goo,slime,anxiety,0.9824465142857142,2.015214315789474
communism,fascism,chicken,0.4668464181818181,1.4816375714285714
ape,chimpanzee,foe,-0.34659124137931047,0.6372669400000001
id,ego,obsession,0.6960005925925926,1.6580235
novice,beginner,rod,0.13073194444444441,1.0908258936170212
dive,scuba,selfish,-0.3918062096774194,0.5555568644067795
clam,oyster,sack,-0.09438455357142858,0.8483061666666665
extrovert,introvert,saying,0.9116295999999999,1.8159538636363637
george,curious,honey,0.17199505084745764,1.064160925925926
doe,deer,spontaneous,0.4749328571428571,1.3513947368421055
cereal,breakfast,official,-0.21996875000000005,0.6522277796610169
writer,editor,zit,-0.32501266666666667,0.533338537037037
murderer,victim,sample,-0.00707648333333332,0.8388670196078432
weave,basket,festival,-0.12797344827586207,0.7139262962962962
neutron,atom,high,0.3757020714285714,1.21481438
immature,juvenile,survey,0.14324198275862066,0.9706576206896552
reef,coral,squash,-0.044793018867924514,0.7783919423076924
orgasm,climax,snack,0.3404125666666667,1.1522682037037038
shove,push,kleenex,-0.10694066071428572,0.6971054
assistant,helper,obscure,-0.16392484745762712,0.6258555423728813
toast,muffin,escargot,-0.49088213333333336,0.29543452542372883
pudding,custard,gold,-0.15931454237288137,0.6253408666666667
monk,monastery,opposite,0.08477128070175442,0.8549687708333332
hula,hoop,sister,0.77352353125,1.5436472499999998
soprano,alto,pardon,0.5155939245283019,1.277652108695652
decay,decompose,fairytale,0.0934764,0.8543290185185186
reel,fishing,strive,0.3483873333333333,1.1030120857142858
catholic,methodist,study,-0.1168014426229508,0.6257012833333333
fraternity,greek,justify,0.4987470491803279,1.230741714285714
broccoli,cauliflower,metric,0.041666016949152555,0.7706735882352942
tile,roof,friendship,-0.12444451785714285,0.60130032
violin,orchestra,intestine,-0.13274756140350877,0.5926623035714286
write,essay,oxygen,-0.5697529365079366,0.15067598245614028
defeat,conquer,ballet,-0.07090955172413792,0.6467922413793104
lightning,thunder,hurt,-0.26222094827586206,0.4534833389830509
prince,princess,production,-0.2577624482758621,0.4569750169491526
salad,potato,car,-0.17899198360655735,0.5252546037735849
armor,knight,ahead,0.1062005084745763,0.8071018214285716
wimp,coward,circle,0.420085306122449,1.1186398666666666
shoelace,lace,rain,0.5163539038461539,1.2124756666666665
rocket,missile,office,-0.36050139344262294,0.33485838333333334
store,grocery,white,-0.44822327586206895,0.24696123728813563
narrow,straight,strong,-0.1648668035714286,0.5284611052631579
am,be,alarm,0.2456775,0.9292925666666666
stiff,rigid,pudding,-0.06148751851851851,0.6214245769230768
